idRating,userId,movieId,rating,timestamp,title,year,genres,name,lastname,age
6000,408,543,1,916091578,So I Married an Axe Murderer,1993,Comedy|Romance|Thriller,Baylor,Smith,49
6001,408,213,3,915922670,Burnt by the Sun (Utomlyonnye solntsem),1994,Drama,Baylor,Smith,49
6002,408,482,2,916091344,Killing Zoe,1994,Crime|Drama|Thriller,Baylor,Smith,49
6003,408,535,2,915923550,Short Cuts,1993,Drama,Baylor,Smith,49
6004,408,1084,3,915923271,Bonnie and Clyde,1967,Crime|Drama,Baylor,Smith,49
6005,408,1252,4,915919335,Chinatown,1974,Crime|Film-Noir|Mystery|Thriller,Baylor,Smith,49
6006,408,1266,4,915922252,Unforgiven,1992,Drama|Western,Baylor,Smith,49
6007,408,2019,5,915918308,Seven Samurai (Shichinin no samurai),1954,Action|Adventure|Drama,Baylor,Smith,49
6008,408,922,4,915918308,Sunset Blvd. (a.k.a. Sunset Boulevard),1950,Drama|Film-Noir|Romance,Baylor,Smith,49
6009,408,930,4,915918578,Notorious,1946,Film-Noir|Romance|Thriller,Baylor,Smith,49
6010,408,953,5,915918550,It's a Wonderful Life,1946,Children|Drama|Fantasy|Romance,Baylor,Smith,49
6011,408,1231,3,915919978,Right Stuff,1983,Drama,Baylor,Smith,49
6012,408,1292,3,915923133,Being There,1979,Comedy|Drama,Baylor,Smith,49
6013,408,1073,3,915919335,Willy Wonka & the Chocolate Factory,1971,Children|Comedy|Fantasy|Musical,Baylor,Smith,49
6014,408,1120,4,915922181,People vs. Larry Flynt,1996,Comedy|Drama,Baylor,Smith,49
6015,408,1371,2,915923905,Star Trek: The Motion Picture,1979,Adventure|Sci-Fi,Baylor,Smith,49
6016,408,1373,1,915923957,Star Trek V: The Final Frontier,1989,Action|Sci-Fi,Baylor,Smith,49
6017,408,2005,1,915923957,Goonies,1985,Action|Adventure|Children|Comedy|Fantasy,Baylor,Smith,49
6018,408,2420,2,915923826,Karate Kid,1984,Drama,Baylor,Smith,49
6019,408,493,5,915920994,Menace II Society,1993,Action|Crime|Drama,Baylor,Smith,49
6020,408,1097,2,915923691,E.T. the Extra-Terrestrial,1982,Children|Drama|Sci-Fi,Baylor,Smith,49
6021,408,1250,3,915918384,Bridge on the River Kwai,1957,Adventure|Drama|War,Baylor,Smith,49
6022,408,1272,4,915919394,Patton,1970,Drama|War,Baylor,Smith,49
6023,408,1285,3,915919978,Heathers,1989,Comedy,Baylor,Smith,49
6024,408,1302,5,915919877,Field of Dreams,1989,Children|Drama|Fantasy,Baylor,Smith,49
6025,408,1304,2,915923550,Butch Cassidy and the Sundance Kid,1969,Action|Western,Baylor,Smith,49
6026,408,1246,3,915922992,Dead Poets Society,1989,Drama,Baylor,Smith,49
6027,408,948,3,915918432,Giant,1956,Drama|Romance|Western,Baylor,Smith,49
6028,408,1387,3,915919262,Jaws,1975,Action|Horror,Baylor,Smith,49
6029,408,1994,1,915923957,Poltergeist,1982,Horror|Thriller,Baylor,Smith,49
6030,408,1276,3,915923222,Cool Hand Luke,1967,Drama,Baylor,Smith,49
6031,408,2321,4,915918117,Pleasantville,1998,Comedy|Drama|Fantasy,Baylor,Smith,49
6032,408,247,4,915922362,Heavenly Creatures,1994,Crime|Drama,Baylor,Smith,49
6033,408,899,2,915923550,Singin' in the Rain,1952,Comedy|Musical|Romance,Baylor,Smith,49
6034,408,914,2,915923550,My Fair Lady,1964,Comedy|Drama|Musical|Romance,Baylor,Smith,49
6035,408,1797,4,915921361,Everest,1998,Documentary|IMAX,Baylor,Smith,49
6036,408,2137,3,915919184,Charlotte's Web,1973,Animation|Children,Baylor,Smith,49
6037,408,1204,4,915918951,Lawrence of Arabia,1962,Adventure|Drama|War,Baylor,Smith,49
6038,408,1408,3,916090848,Last of the Mohicans,1992,Action|Romance|War|Western,Baylor,Smith,49
6039,408,909,3,915923312,Apartment,1960,Comedy|Drama|Romance,Baylor,Smith,49
6040,408,1289,2,915923862,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance),1983,Documentary,Baylor,Smith,49
6041,408,2064,4,915919877,Roger & Me,1989,Documentary,Baylor,Smith,49
6042,408,969,5,915918384,African Queen,1951,Adventure|Comedy|Romance|War,Baylor,Smith,49
6043,408,1030,2,915923630,Pete's Dragon,1977,Adventure|Animation|Children|Musical,Baylor,Smith,49
6044,408,1183,4,915921595,English Patient,1996,Drama|Romance|War,Baylor,Smith,49
6045,408,1212,3,915918550,Third Man,1949,Film-Noir|Mystery|Thriller,Baylor,Smith,49
6046,408,1224,4,915919631,Henry V,1989,Action|Drama|Romance|War,Baylor,Smith,49
6047,408,1228,4,915919924,Raging Bull,1980,Drama,Baylor,Smith,49
6048,408,1248,3,915918347,Touch of Evil,1958,Crime|Film-Noir|Thriller,Baylor,Smith,49
6049,408,1254,4,915918550,Treasure of the Sierra Madre,1948,Action|Adventure|Drama|Western,Baylor,Smith,49
6050,408,1278,3,915919335,Young Frankenstein,1974,Comedy|Fantasy,Baylor,Smith,49
6051,408,1293,4,915919697,Gandhi,1982,Drama,Baylor,Smith,49
6052,408,1674,3,915922940,Witness,1985,Drama|Romance|Thriller,Baylor,Smith,49
6053,408,1939,3,915922822,Best Years of Our Lives,1946,Drama|War,Baylor,Smith,49
6054,408,1944,3,915922822,From Here to Eternity,1953,Drama|Romance|War,Baylor,Smith,49
6055,408,1947,2,915923691,West Side Story,1961,Drama|Musical|Romance,Baylor,Smith,49
6056,408,2067,3,915918994,Doctor Zhivago,1965,Drama|Romance|War,Baylor,Smith,49
6057,408,2336,3,915922822,Elizabeth,1998,Drama,Baylor,Smith,49
6058,408,2411,1,915923987,Rocky IV,1985,Action|Drama,Baylor,Smith,49
6059,408,5060,4,915919335,M*A*S*H (a.k.a. MASH),1970,Comedy|Drama|War,Baylor,Smith,49
6060,408,154,2,915923455,Beauty of the Day (Belle de jour),1967,Drama,Baylor,Smith,49
6061,408,306,2,915923455,Three Colors: Red (Trois couleurs: Rouge),1994,Drama,Baylor,Smith,49
6062,408,326,3,915920698,To Live (Huozhe),1994,Drama,Baylor,Smith,49
6063,408,898,3,915918519,Philadelphia Story,1940,Comedy|Drama|Romance,Baylor,Smith,49
